time,open,high,low,close,tick_volume,spread,real_volume
2012-08-06 00:00:00,1397.9,1398.9,1397.7,1398.4,191,0,0
2012-08-07 00:00:00,1393.2,1407.2,1391.4,1400.2,2461,0,0
2012-08-08 00:00:00,1400.4,1403.4,1393.9,1400.2,1881,0,0
2012-08-09 00:00:00,1399.9,1406.7,1396.7,1403.0,1691,0,0
2012-08-10 00:00:00,1403.4,1403.4,1398.4,1399.2,581,0,0
2012-08-13 00:00:00,1404.4,1406.7,1396.9,1404.4,1961,0,0
2012-08-14 00:00:00,1404.5,1412.2,1400.3,1402.2,2151,0,0
2012-08-15 00:00:00,1401.9,1407.9,1399.4,1406.2,1271,0,0
2012-08-16 00:00:00,1406.4,1417.4,1404.2,1415.4,1741,0,0
2012-08-17 00:00:00,1415.7,1415.7,1413.9,1414.4,231,0,0
2012-08-20 00:00:00,1416.9,1419.7,1411.4,1417.2,1631,0,0
2012-08-21 00:00:00,1417.0,1426.8,1410.3,1413.1,2911,0,0
2012-08-22 00:00:00,1412.9,1415.9,1406.4,1414.4,1751,0,0
2012-08-23 00:00:00,1414.6,1419.9,1400.3,1403.5,2811,0,0
2012-08-24 00:00:00,1403.7,1404.0,1402.2,1403.2,311,0,0
2012-08-27 00:00:00,1414.7,1417.8,1408.9,1410.4,1351,0,0
2012-08-28 00:00:00,1410.3,1413.9,1405.2,1410.9,1681,0,0
2012-08-29 00:00:00,1411.2,1413.8,1406.2,1408.2,1221,0,0
2012-08-30 00:00:00,1408.0,1408.2,1396.7,1397.2,1221,0,0
2012-08-31 00:00:00,1397.4,1399.9,1396.9,1398.7,471,0,0
2012-09-03 00:00:00,1405.9,1410.4,1397.9,1407.9,2301,0,0
2012-09-04 00:00:00,1408.2,1410.4,1395.9,1405.4,2621,0,0
2012-09-05 00:00:00,1405.2,1408.8,1398.2,1404.5,2051,0,0
2012-09-06 00:00:00,1404.2,1433.5,1404.0,1431.7,3151,0,0
2012-09-07 00:00:00,1431.5,1433.0,1431.2,1432.5,261,0,0
2012-09-10 00:00:00,1437.3,1438.5,1425.0,1426.7,1641,0,0
2012-09-11 00:00:00,1427.0,1438.0,1422.2,1429.2,2941,0,0
2012-09-12 00:00:00,1428.9,1439.9,1428.9,1439.2,1171,0,0
2012-09-13 00:00:00,1438.9,1463.7,1434.9,1459.0,3751,0,0
2012-09-14 00:00:00,1458.9,1460.9,1458.9,1460.2,271,0,0
2012-09-17 00:00:00,1464.0,1465.3,1457.2,1461.2,1341,0,0
2012-09-18 00:00:00,1461.4,1462.9,1455.7,1460.7,1371,0,0
2012-09-19 00:00:00,1460.5,1465.3,1457.5,1459.4,1451,0,0
2012-09-20 00:00:00,1459.5,1462.4,1449.6,1461.4,2371,0,0
2012-09-21 00:00:00,1461.2,1464.1,1461.1,1463.4,381,0,0
2012-09-24 00:00:00,1458.8,1460.5,1451.1,1458.7,1871,0,0
2012-09-25 00:00:00,1458.5,1463.2,1441.4,1444.2,2931,0,0
2012-09-26 00:00:00,1443.9,1445.9,1429.9,1435.7,2381,0,0
2012-09-27 00:00:00,1435.9,1450.2,1435.2,1448.4,1751,0,0
2012-09-28 00:00:00,1448.2,1449.2,1446.4,1447.9,531,0,0
2012-10-01 00:00:00,1436.4,1457.2,1433.7,1442.9,4051,0,0
2012-10-02 00:00:00,1443.2,1451.7,1438.2,1445.3,2491,0,0
2012-10-03 00:00:00,1445.1,1455.0,1440.8,1453.9,1961,0,0
2012-10-04 00:00:00,1453.8,1463.4,1450.9,1462.4,1641,0,0
2012-10-05 00:00:00,1462.3,1464.2,1461.9,1463.4,351,0,0
2012-10-08 00:00:00,1458.4,1459.7,1452.5,1454.4,1041,0,0
2012-10-09 00:00:00,1454.7,1459.2,1439.2,1439.4,2471,0,0
2012-10-10 00:00:00,1439.3,1442.4,1426.2,1427.4,2051,0,0
2012-10-11 00:00:00,1427.2,1443.9,1427.2,1434.9,2571,0,0
2012-10-12 00:00:00,1435.2,1439.4,1425.2,1426.3,1951,0,0
2012-10-15 00:00:00,1423.2,1441.9,1422.4,1441.7,2051,0,0
2012-10-16 00:00:00,1441.8,1456.2,1439.4,1455.7,1971,0,0
2012-10-17 00:00:00,1455.5,1462.9,1451.2,1461.2,1771,0,0
2012-10-18 00:00:00,1461.0,1464.4,1452.7,1456.4,1881,0,0
2012-10-19 00:00:00,1456.7,1458.2,1455.7,1456.4,471,0,0
2012-10-22 00:00:00,1428.7,1437.4,1421.7,1436.2,2391,0,0
2012-10-23 00:00:00,1435.9,1437.9,1407.0,1413.2,3911,0,0
2012-10-24 00:00:00,1412.9,1419.7,1406.7,1410.7,2381,0,0
2012-10-25 00:00:00,1410.8,1421.4,1401.9,1411.4,3841,0,0
2012-10-26 00:00:00,1411.2,1411.7,1406.4,1406.7,611,0,0
2012-10-29 00:00:00,1407.7,1411.2,1401.5,1402.5,1421,0,0
2012-10-30 00:00:00,1402.4,1417.1,1398.4,1415.6,2421,0,0
2012-10-31 00:00:00,1415.4,1422.8,1405.2,1407.0,2681,0,0
2012-11-01 00:00:00,1407.2,1430.0,1403.5,1427.7,3251,0,0
2012-11-02 00:00:00,1428.0,1429.0,1427.0,1427.2,321,0,0
2012-11-05 00:00:00,1408.3,1420.0,1407.3,1415.5,1821,0,0
2012-11-06 00:00:00,1415.2,1433.4,1414.6,1426.6,2621,0,0
2012-11-07 00:00:00,1426.4,1434.6,1387.2,1396.4,6481,0,0
2012-11-08 00:00:00,1396.1,1400.4,1375.9,1379.6,3251,0,0
2012-11-09 00:00:00,1379.5,1383.6,1378.4,1381.9,801,0,0
2012-11-12 00:00:00,1377.7,1384.8,1375.9,1377.9,1761,0,0
2012-11-13 00:00:00,1378.0,1389.1,1368.7,1375.7,3851,0,0
2012-11-14 00:00:00,1375.4,1384.4,1352.4,1357.1,4571,0,0
2012-11-15 00:00:00,1356.9,1361.6,1347.9,1352.6,2311,0,0
