entry_time,entry,sl,tp,lotes,capital_before,exit_time,exit_price,exit_reason,pnl,capital_after,bars_held
2024-02-05 13:00:00,4948.8,4935.956358563137,4965.924855249152,0.07,10000.0,2024-02-05 17:00:00,4935.956358563137,sl,-90.25549005804405,9909.744509941956,4.0
2024-02-05 18:00:00,4936.2,4920.381733410898,4957.291022118803,0.06,9909.744509941956,2024-02-06 03:00:00,4942.7,time_exit,38.7,9948.444509941957,8.0
2024-02-08 13:00:00,4989.1,4981.04963895271,4999.833814729722,0.12,9948.444509941957,2024-02-08 21:00:00,4996.5,time_exit,88.19999999999563,10036.644509941952,8.0
2024-02-09 11:00:00,5002.7,4996.005724565276,5011.6257005796315,0.14,10036.644509941952,2024-02-09 15:00:00,5011.6257005796315,tp,124.25980811484332,10160.904318056795,4.0
2024-02-12 10:00:00,5024.2,5017.510980856299,5033.1186921916005,0.15,10160.904318056795,2024-02-12 17:00:00,5033.1186921916005,tp,133.03038287401068,10293.934700930806,7.0
2024-02-15 15:00:00,5008.7,4997.716258428431,5023.344988762093,0.09,10293.934700930806,2024-02-15 20:00:00,5023.344988762093,tp,131.35489885883618,10425.289599789641,5.0
2024-02-16 15:00:00,5025.6,5014.620838385023,5040.238882153303,0.09,10425.289599789641,2024-02-16 16:00:00,5014.620838385023,sl,-99.26245453480006,10326.02714525484,1.0
2024-02-16 17:00:00,5020.0,5005.325365750351,5039.566178999532,0.07,10326.02714525484,2024-02-16 22:00:00,5005.325365750351,sl,-103.07243974754293,10222.954705507298,5.0
2024-02-26 09:00:00,5082.0,5071.893068494831,5095.4759086735585,0.1,10222.954705507298,2024-02-26 15:00:00,5095.4759086735585,tp,134.2590867355848,10357.213792242883,6.0
2024-02-27 11:00:00,5075.3,5065.434691741967,5088.453744344044,0.1,10357.213792242883,2024-02-27 16:00:00,5065.434691741967,sl,-99.1530825803311,10258.060709662552,5.0
2024-03-04 11:00:00,5132.4,5123.592298229289,5144.143602360948,0.11,10258.060709662552,2024-03-04 19:00:00,5137.4,time_exit,54.45000000000001,10312.510709662552,8.0
2024-03-06 14:00:00,5101.4,5090.844608346871,5115.473855537505,0.09,10312.510709662552,2024-03-06 16:00:00,5115.473855537505,tp,126.21469983754996,10438.725409500103,2.0
2024-03-07 11:00:00,5107.6,5093.533480522912,5126.355359302785,0.07,10438.725409500103,2024-03-07 15:00:00,5126.355359302785,tp,130.93751511948943,10569.662924619592,4.0
2024-03-08 13:00:00,5155.8,5144.364202758903,5171.047729654796,0.09,10569.662924619592,2024-03-08 15:00:00,5144.364202758903,sl,-103.37217516987421,10466.290749449718,2.0
2024-03-13 11:00:00,5174.8,5161.758505136141,5192.188659818478,0.08,10466.290749449718,2024-03-13 19:00:00,5170.5,time_exit,-34.800000000001454,10431.490749449717,8.0
2024-03-15 12:00:00,5159.9,5147.76971287829,5176.073716162279,0.08,10431.490749449717,2024-03-15 16:00:00,5147.76971287829,sl,-97.44229697367555,10334.048452476041,4.0
2024-03-18 14:00:00,5158.46,5145.537620959545,5175.689838720607,0.07,10334.048452476041,2024-03-18 17:00:00,5175.689838720607,tp,120.25887104425185,10454.307323520294,3.0
2024-03-20 09:00:00,5177.46,5167.313859772283,5190.9881869702895,0.1,10454.307323520294,2024-03-20 17:00:00,5182.01,time_exit,45.00000000000182,10499.307323520296,8.0
2024-03-22 11:00:00,5250.25,5240.758073818673,5262.905901575102,0.11,10499.307323520296,2024-03-22 14:00:00,5240.758073818673,sl,-104.9611879945922,10394.346135525704,3.0
2024-03-28 09:00:00,5251.13,5242.227061323783,5263.000584901622,0.11,10394.346135525704,2024-03-28 17:00:00,5258.31,time_exit,78.4300000000032,10472.776135525708,8.0
2024-04-01 13:00:00,5278.34,5270.260895776801,5289.112138964266,0.12,10472.776135525708,2024-04-01 15:00:00,5270.260895776801,sl,-97.54925067839358,10375.226884847314,2.0
2024-04-01 16:00:00,5263.64,5254.188745634706,5276.24167248706,0.1,10375.226884847314,2024-04-01 17:00:00,5254.188745634706,sl,-95.01254365294517,10280.214341194369,1.0
2024-04-26 13:00:00,5083.22,5067.046072237485,5104.7852370166875,0.06,10280.214341194369,2024-04-26 15:00:00,5104.7852370166875,tp,129.0914221001232,10409.305763294493,2.0
2024-04-26 16:00:00,5093.02,5073.863538886937,5118.561948150752,0.05,10409.305763294493,2024-04-29 01:00:00,5105.49,time_exit,62.09999999999673,10471.40576329449,8.0
2024-04-29 12:00:00,5104.77,5092.807558801048,5120.719921598604,0.08,10471.40576329449,2024-04-29 16:00:00,5120.719921598604,tp,127.19937278882718,10598.605136083317,4.0
2024-04-30 16:00:00,5106.86,5094.258000442456,5123.662666076724,0.08,10598.605136083317,2024-04-30 18:00:00,5094.258000442456,sl,-101.21599646034738,10497.38913962297,2.0
2024-05-03 17:00:00,5104.91,5082.874871242104,5134.290171677195,0.04,10497.38913962297,2024-05-06 01:00:00,5134.290171677195,tp,117.32068670877997,10614.70982633175,7.0
2024-05-08 11:00:00,5187.67,5179.530124437949,5198.523167416069,0.13,10614.70982633175,2024-05-08 14:00:00,5179.530124437949,sl,-106.46838230666563,10508.241444025083,3.0
2024-05-09 14:00:00,5181.26,5172.734256709439,5192.627657720749,0.12,10508.241444025083,2024-05-09 17:00:00,5192.627657720749,tp,135.8118926489864,10644.05333667407,3.0
2024-05-10 15:00:00,5226.03,5217.506207983759,5237.395056021654,0.12,10644.05333667407,2024-05-10 16:00:00,5237.395056021654,tp,135.78067225985652,10779.834008933925,1.0
2024-05-13 10:00:00,5230.25,5222.382263682482,5240.7403150900245,0.13,10779.834008933925,2024-05-13 16:00:00,5240.7403150900245,tp,135.7240961703188,10915.558105104245,6.0
2024-05-14 10:00:00,5224.32,5217.773079441882,5233.049227410823,0.16,10915.558105104245,2024-05-14 15:00:00,5217.773079441882,sl,-105.55072892988099,10810.007376174364,5.0
2024-05-14 16:00:00,5226.87,5217.17634442518,5239.79487409976,0.11,10810.007376174364,2024-05-14 21:00:00,5239.79487409976,tp,141.6236150973602,10951.630991271724,5.0
2024-06-06 16:00:00,5354.66,5344.603909287458,5368.068120950056,0.1,10951.630991271724,2024-06-06 19:00:00,5344.603909287458,sl,-101.06090712541845,10850.570084146306,3.0
2024-06-07 16:00:00,5348.52,5334.685942601062,5366.965409865251,0.07,10850.570084146306,2024-06-07 17:00:00,5366.965409865251,tp,128.76786905675309,10979.33795320306,1.0
2024-06-13 11:00:00,5432.34,5420.33146072538,5448.351385699494,0.09,10979.33795320306,2024-06-13 17:00:00,5420.33146072538,sl,-108.5268534715844,10870.811099731474,6.0
2024-06-14 16:00:00,5420.98,5406.804726459645,5439.880364720471,0.07,10870.811099731474,2024-06-14 17:00:00,5406.804726459645,sl,-99.57691478247999,10771.234184948995,1.0
2024-06-18 10:00:00,5474.73,5464.09145794033,5488.914722746225,0.1,10771.234184948995,2024-06-18 18:00:00,5484.53,time_exit,97.50000000000182,10868.734184948997,8.0
2024-06-19 11:00:00,5494.41,5486.074511499988,5505.523984666682,0.13,10868.734184948997,2024-06-19 19:00:00,5493.21,time_exit,-16.249999999997634,10852.484184948999,8.0
2024-06-24 11:00:00,5478.17,5466.624703166778,5493.563729110962,0.09,10852.484184948999,2024-06-24 16:00:00,5466.624703166778,sl,-104.35767149899785,10748.12651345,5.0
2024-07-02 16:00:00,5472.77,5458.818731417778,5491.371691442964,0.07,10748.12651345,2024-07-02 20:00:00,5491.371691442964,tp,129.8618401007465,10877.988353550747,4.0
2024-07-03 15:00:00,5504.48,5494.852969165639,5517.316041112481,0.11,10877.988353550747,2024-07-03 17:00:00,5517.316041112481,tp,140.64645223729457,11018.634805788042,2.0
2024-07-04 16:00:00,5532.73,5525.884415588918,5541.857445881441,0.16,11018.634805788042,2024-07-05 05:00:00,5535.7,time_exit,46.72000000000408,11065.354805788047,8.0
2024-07-09 14:00:00,5583.69,5576.797455701347,5592.88005906487,0.16,11065.354805788047,2024-07-09 21:00:00,5576.797455701347,sl,-111.08070877844584,10954.274097009602,7.0
2024-07-10 17:00:00,5590.75,5584.067601522861,5599.659864636186,0.16,10954.274097009602,2024-07-10 18:00:00,5599.659864636186,tp,141.75783417898054,11096.031931188583,1.0
